ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TOC,DOC,UVA,SUVA,PI,WL PI,Int @ 450,Int @ 460,Int @ 500,FI 45/50,Comments
3241,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/17/2004,8/17/2004,,,4.02,0.814,20.23,,,,,,,
3242,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/17/2004,8/17/2004,,,3.83,0.083,2.17,,,,,,,
3243,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/17/2004,8/17/2004,,,2.75,0.051,1.86,,,,,,,
3244,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/17/2004,8/17/2004,,,2.74,0.012,0.46,,,,,,,
3245,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/17/2004,8/17/2004,,,2.01,0.007,0.33,,,,,,,
3246,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/17/2004,8/17/2004,,,2.65,0.053,1.99,,,,,,,
3247,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/17/2004,8/17/2004,,,1.95,0.027,1.39,,,,,,,
3248,Green In,Greenway WTP Inlet,srp,Green In,8/17/2004,8/17/2004,,,2.49,0.045,1.82,,,,,,,
3249,Green Out,Greenway WTP Outlet,srp,Green Out,8/17/2004,8/17/2004,,,1.97,0.016,0.8,,,,,,,
3250,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,8/17/2004,8/17/2004,,,2.75,0.051,1.86,,,,,,,
3251,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,8/17/2004,8/17/2004,,,2.14,0.036,1.66,,,,,,,
3252,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/17/2004,8/17/2004,,,31.6,0.029,0.09,,,,,,,
3253,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/17/2004,8/17/2004,,,34.5,0.032,0.09,,,,,,,
3254,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/17/2004,8/17/2004,,,2.67,0.053,1.98,,,,,,,
3255,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/17/2004,8/17/2004,,,2.56,0.053,2.08,,,,,,,
3256,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/17/2004,8/17/2004,,,4.72,0.081,1.72,,,,,,,
3257,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,8/17/2004,8/17/2004,,,4.88,0.085,1.74,,,,,,,
3258,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/17/2004,8/17/2004,,,3.86,0.078,2.02,,,,,,,
3259,R20,Verde River at Tangle,verde,verde abv horseshoe,8/17/2004,8/17/2004,,,1.68,0.076,4.5,,,,,,,
3260,Havasu 1,Havasu lake Sample,,Havasu 1,8/17/2004,8/17/2004,,,2.1,0.032,1.52,,,,,,,
3261,Havasu 2,Havasu lake Sample,,Havasu 2,8/17/2004,8/17/2004,,,2.32,0.033,1.4,,,,,,,
3262,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,8/17/2004,8/17/2004,,,,,,,,,,,,
3263,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/17/2004,8/17/2004,,,2.76,0.053,1.94,,,,,,,
3264,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/17/2004,8/17/2004,,,2.77,0.049,1.79,,,,,,,
3265,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/17/2004,8/17/2004,,,2.87,0.052,1.8,,,,,,,
3266,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,8/17/2004,8/17/2004,,,2.89,0.056,1.92,,,,,,,
3267,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/17/2004,8/17/2004,,,,,,,,,,,,
3268,R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/17/2004,8/17/2004,,,,,,,,,,,,
3269,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,8/17/2004,8/17/2004,,,,,,,,,,,,
3270,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/17/2004,8/17/2004,,,,,,,,,,,,
3271,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/17/2004,8/17/2004,,,,,,,,,,,,
3272,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/17/2004,8/17/2004,,,,,,,,,,,,
3273,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,8/17/2004,8/17/2004,,,,,,,,,,,,
3274,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,8/17/2004,8/17/2004,,,,,,,,,,,,
3275,R3,Waddell Canal,cap,waddell canal,9/14/2004,9/14/2004,,,2.92,0.038,1.29,,,,,,,
3276,UH In,Union Hills Inlet,cap,Union Hills Inlet,9/14/2004,9/14/2004,,,2.78,0.033,1.19,,,,,,,
3277,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,9/14/2004,9/14/2004,,,5.51,0.019,0.35,,,,,,,
3278,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/14/2004,9/14/2004,,,3.08,0.035,1.13,,,,,,,
3279,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,9/14/2004,9/14/2004,,,3.41,0.058,1.7,,,,,,,
3280,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/14/2004,9/14/2004,,,3.2,0.048,1.49,,,,,,,
3281,R19,Val Vista WTP treated water,srp,val vista-treated,9/14/2004,9/14/2004,,,2.17,0.025,1.14,,,,,,,
3282,HTC,Head of the Tempe Canal,tempe,head of tempe canal,9/14/2004,9/14/2004,,,2.11,0.043,2.02,,,,,,,
3283,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,9/14/2004,9/14/2004,,,0.96,0.01,1.07,,,,,,,
3284,SPT Out,Tempe's South Plant treated water,tempe,STP Out,9/14/2004,9/14/2004,,,0.99,0.006,0.6,,,,,,,
3285,R25,verde river at beeline highway,verde,verde @ beeline,9/14/2004,9/14/2004,,,2.35,0.05,2.14,,,,,,,
3286,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/14/2004,9/14/2004,,,4.98,0.084,1.69,,,,,,,
3287,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/14/2004,9/14/2004,,,3.89,0.078,2,,,,,,,
3288,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/14/2004,9/14/2004,,,3.3,0.05,1.52,,,,,,,
3289,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/14/2004,9/14/2004,,,3.17,0.047,1.5,,,,,,,
3290,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/14/2004,9/14/2004,,,2.37,0.027,1.15,,,,,,,
3291,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/14/2004,9/14/2004,,,3.17,0.045,1.4,,,,,,,
3292,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/14/2004,9/14/2004,,,2.78,0.023,0.83,,,,,,,
3293,Green In,Greenway WTP Inlet,srp,Green In,9/14/2004,9/14/2004,,,3.53,0.038,1.08,,,,,,,
3294,Green Out,Greenway WTP Outlet,srp,Green Out,9/14/2004,9/14/2004,,,2.49,0.015,0.58,,,,,,,
3295,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,9/14/2004,9/14/2004,,,3.16,0.045,1.43,,,,,,,
3296,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,9/14/2004,9/14/2004,,,2.71,0.035,1.28,,,,,,,
3297,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/14/2004,9/14/2004,,,3.3,0.04,1.23,,,,,,,
3298,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/14/2004,9/14/2004,,,2.53,0.044,1.73,,,,,,,
3299,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/14/2004,9/14/2004,,,3.22,0.063,1.96,,,,,,,
3300,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/14/2004,9/14/2004,,,2.86,0.059,2.07,,,,,,,
3301,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/14/2004,9/14/2004,,,5.78,0.088,1.53,,,,,,,
3302,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,9/14/2004,9/14/2004,,,8.03,0.088,1.09,,,,,,,
3303,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/14/2004,9/14/2004,,,4.59,0.086,1.88,,,,,,,
3304,R20,Verde River at Tangle,verde,verde abv horseshoe,9/14/2004,9/14/2004,,,13.13,0.599,4.56,,,,,,,
3305,Havasu 1,Havasu lake Sample,,Havasu 1,9/14/2004,9/14/2004,,,3.2,0.042,1.3,,,,,,,
3306,Havasu 2,Havasu lake Sample,,Havasu 2,9/14/2004,9/14/2004,,,3.07,0.042,1.37,,,,,,,
3307,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,9/14/2004,9/14/2004,,,,,,,,,,,,
3308,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/14/2004,9/14/2004,,,3.24,0.045,1.39,,,,,,,
3309,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/14/2004,9/14/2004,,,3.29,0.053,1.61,,,,,,,
3310,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/14/2004,9/14/2004,,,7.58,0.052,0.68,,,,,,,
3311,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,9/14/2004,9/14/2004,,,3.28,0.051,1.55,,,,,,,
3312,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/14/2004,9/14/2004,,,,,,,,,,,,
3313,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/14/2004,9/14/2004,,,,,,,,,,,,
3314,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,9/14/2004,9/14/2004,,,,,,,,,,,,
3315,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/14/2004,9/14/2004,,,,,,,,,,,,
3316,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/14/2004,9/14/2004,,,,,,,,,,,,
3317,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/14/2004,9/14/2004,,,,,,,,,,,,
3318,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,9/14/2004,9/14/2004,,,,,,,,,,,,
3319,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,9/14/2004,9/14/2004,,,,,,,,,,,,
3320,R3,Waddell Canal,cap,waddell canal,10/12/2004,10/12/2004,,,3.28,0.038,1.17,,,,,,,
3321,UH In,Union Hills Inlet,cap,Union Hills Inlet,10/12/2004,10/12/2004,,,2.98,0.038,1.27,,,,,,,
3322,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/12/2004,10/12/2004,,,2.83,0.026,0.91,,,,,,,
3323,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/12/2004,10/12/2004,,,3.21,0.04,1.24,,,,,,,
3324,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,10/12/2004,10/12/2004,,,3.03,0.06,1.98,,,,,,,
3325,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/12/2004,10/12/2004,,,,,,,,,,,,
3326,R19,Val Vista WTP treated water,srp,val vista-treated,10/12/2004,10/12/2004,,,,,,,,,,,,
3327,HTC,Head of the Tempe Canal,tempe,head of tempe canal,10/12/2004,10/12/2004,,,1.78,0.029,1.66,,,,,,,
3328,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/12/2004,10/12/2004,,,0.83,0.042,5.03,,,,,,,
3329,SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/12/2004,10/12/2004,,,0.84,0.009,1.09,,,,,,,
3330,R25,verde river at beeline highway,verde,verde @ beeline,10/12/2004,10/12/2004,,,2.59,0.073,2.83,,,,,,,
3331,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/12/2004,10/12/2004,,,4.45,0.091,2.03,,,,,,,
3332,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/12/2004,10/12/2004,,,3.46,0.079,2.29,,,,,,,
3333,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/12/2004,10/12/2004,,,3.07,0.05,1.63,,,,,,,
3334,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/12/2004,10/12/2004,,,3.18,0.051,1.6,,,,,,,
3335,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/12/2004,10/12/2004,,,2.1,0.024,1.13,,,,,,,
3336,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/12/2004,10/12/2004,,,3.05,0.045,1.49,,,,,,,
3337,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/12/2004,10/12/2004,,,2.5,0.02,0.81,,,,,,,
3338,Green In,Greenway WTP Inlet,srp,Green In,10/12/2004,10/12/2004,,,2.07,0.028,1.34,,,,,,,
3339,Green Out,Greenway WTP Outlet,srp,Green Out,10/12/2004,10/12/2004,,,1.6,0.015,0.93,,,,,,,
3340,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/12/2004,10/12/2004,,,3.06,0.049,1.61,,,,,,,
3341,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,10/12/2004,10/12/2004,,,2.33,0.028,1.19,,,,,,,
3342,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/12/2004,10/12/2004,,,3.15,0.039,1.24,,,,,,,
3343,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/12/2004,10/12/2004,,,3.35,0.04,1.2,,,,,,,
3344,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/12/2004,10/12/2004,,,3.36,0.084,2.49,,,,,,,
3345,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/12/2004,10/12/2004,,,4.09,0.137,3.35,,,,,,,
3346,R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/12/2004,10/12/2004,,,4.75,0.089,1.87,,,,,,,
3347,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,10/12/2004,10/12/2004,,,4.5,0.086,1.91,,,,,,,
3348,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/12/2004,10/12/2004,,,4.71,0.087,1.84,,,,,,,
3349,R20,Verde River at Tangle,verde,verde abv horseshoe,10/12/2004,10/12/2004,,,1.27,0.036,2.84,,,,,,,
3350,Havasu 1,Havasu lake Sample,,Havasu 1,10/12/2004,10/12/2004,,,2.89,0.049,1.71,,,,,,,
3351,Havasu 2,Havasu lake Sample,,Havasu 2,10/12/2004,10/12/2004,,,2.83,0.049,1.73,,,,,,,
3352,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,10/12/2004,10/12/2004,,,,,,,,,,,,
3353,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/12/2004,10/12/2004,,,3.26,0.048,1.48,,,,,,,
3354,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/12/2004,10/12/2004,,,3.12,0.054,1.74,,,,,,,
3355,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/12/2004,10/12/2004,,,3.2,0.05,1.56,,,,,,,
3356,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,10/12/2004,10/12/2004,,,3.99,0.06,1.49,,,,,,,
3357,R1,CAP canal above Waddell Canal,cap,cap-siphon,10/12/2004,10/12/2004,,,,,,,,,,,,
3358,R4,Cap Canal at 7th St.,cap,cap @ 7th st,10/12/2004,10/12/2004,,,,,,,,,,,,
3359,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,10/12/2004,10/12/2004,,,,,,,,,,,,
3360,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,10/12/2004,10/12/2004,,,,,,,,,,,,
3361,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,10/12/2004,10/12/2004,,,,,,,,,,,,
3362,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,10/12/2004,10/12/2004,,,,,,,,,,,,
3363,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,10/12/2004,10/12/2004,,,,,,,,,,,,
3364,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,10/12/2004,10/12/2004,,,,,,,,,,,,
3365,R3,Waddell Canal,cap,waddell canal,11/9/2004,11/9/2004,,,2.53,0.037,1.47,,,,,,,
3366,UH In,Union Hills Inlet,cap,Union Hills Inlet,11/9/2004,11/9/2004,,,2.48,0.037,1.51,,,,,,,
3367,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,11/9/2004,11/9/2004,,,2.53,0.025,0.99,,,,,,,
3368,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/9/2004,11/9/2004,,,2.68,0.04,1.5,,,,,,,
3369,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,11/9/2004,11/9/2004,,,2.52,0.052,2.07,,,,,,,
3370,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/9/2004,11/9/2004,,,,,,,,,,,,
3371,R19,Val Vista WTP treated water,srp,val vista-treated,11/9/2004,11/9/2004,,,,,,,,,,,,
3372,HTC,Head of the Tempe Canal,tempe,head of tempe canal,11/9/2004,11/9/2004,,,1.68,0.028,1.65,,,,,,,
3373,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/9/2004,11/9/2004,,,1.31,0.019,1.43,,,,,,,
3374,SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/9/2004,11/9/2004,,,,,,,,,,,,
3375,R25,verde river at beeline highway,verde,verde @ beeline,11/9/2004,11/9/2004,,,1.92,0.056,2.93,,,,,,,
3376,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/9/2004,11/9/2004,,,3.34,0.068,2.03,,,,,,,
3377,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/9/2004,11/9/2004,,,2.38,0.074,3.12,,,,,,,
3378,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/9/2004,11/9/2004,,,2.57,0.057,2.23,,,,,,,
3379,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/9/2004,11/9/2004,,,2.74,0.062,2.25,,,,,,,
3380,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/9/2004,11/9/2004,,,2.06,0.032,1.55,,,,,,,
3381,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/9/2004,11/9/2004,,,2.74,0.06,2.19,,,,,,,
3382,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/9/2004,11/9/2004,,,1.85,0.026,1.42,,,,,,,
3383,Green In,Greenway WTP Inlet,srp,Green In,11/9/2004,11/9/2004,,,1.19,0.031,2.62,,,,,,,
3384,Green Out,Greenway WTP Outlet,srp,Green Out,11/9/2004,11/9/2004,,,1.41,0.015,1.08,,,,,,,
3385,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/9/2004,11/9/2004,,,2.66,0.061,2.3,,,,,,,
3386,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,11/9/2004,11/9/2004,,,2.06,0.034,1.65,,,,,,,
3387,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/9/2004,11/9/2004,,,2.71,0.037,1.37,,,,,,,
3388,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/9/2004,11/9/2004,,,2.77,0.038,1.38,,,,,,,
3389,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/9/2004,11/9/2004,,,3.17,0.092,2.89,,,,,,,
3390,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/9/2004,11/9/2004,,,3.94,0.099,2.53,,,,,,,
3391,R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/9/2004,11/9/2004,,,4.88,0.088,1.8,,,,,,,
3392,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,11/9/2004,11/9/2004,,,4.65,0.086,1.86,,,,,,,
3393,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/9/2004,11/9/2004,,,4.97,0.087,1.76,,,,,,,
3394,R20,Verde River at Tangle,verde,verde abv horseshoe,11/9/2004,11/9/2004,,,2.89,0.126,4.36,,,,,,,
3395,Havasu 1,Havasu lake Sample,,Havasu 1,11/9/2004,11/9/2004,,,2.56,0.043,1.69,,,,,,,
3396,Havasu 2,Havasu lake Sample,,Havasu 2,11/9/2004,11/9/2004,,,2.6,0.043,1.66,,,,,,,
3397,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,11/9/2004,11/9/2004,,,,,,,,,,,,
3398,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/9/2004,11/9/2004,,,2.74,0.061,2.22,,,,,,,
3399,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/9/2004,11/9/2004,,,2.7,0.061,2.26,,,,,,,
3400,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/9/2004,11/9/2004,,,2.64,0.057,2.17,,,,,,,
3401,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,11/9/2004,11/9/2004,,,2.66,0.06,2.24,,,,,,,
3402,R1,CAP canal above Waddell Canal,cap,cap-siphon,11/9/2004,11/9/2004,,,,,,,,,,,,
3403,R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/9/2004,11/9/2004,,,,,,,,,,,,
3404,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,11/9/2004,11/9/2004,,,,,,,,,,,,
3405,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/9/2004,11/9/2004,,,,,,,,,,,,
3406,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/9/2004,11/9/2004,,,,,,,,,,,,
3407,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/9/2004,11/9/2004,,,,,,,,,,,,
3408,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,11/9/2004,11/9/2004,,,,,,,,,,,,
3409,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,11/9/2004,11/9/2004,,,,,,,,,,,,
3410,R3,Waddell Canal,cap,waddell canal,12/7/2004,12/7/2004,,,3.78,0.116,3.05,,,,,,,
3411,UH In,Union Hills Inlet,cap,Union Hills Inlet,12/7/2004,12/7/2004,,,3.77,0.11,2.93,,,,,,,
3412,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,12/7/2004,12/7/2004,,,2.93,0.039,1.33,,,,,,,
3413,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/7/2004,12/7/2004,,,,,,,,,,,,
3414,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,12/7/2004,12/7/2004,,,3.13,0.115,3.68,,,,,,,
3415,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,12/7/2004,12/7/2004,,,,,,,,,,,,
3416,R19,Val Vista WTP treated water,srp,val vista-treated,12/7/2004,12/7/2004,,,,,,,,,,,,
3417,HTC,Head of the Tempe Canal,tempe,head of tempe canal,12/7/2004,12/7/2004,,,,,,,,,,,,
3418,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,12/7/2004,12/7/2004,,,0.9,0.019,2.1,,,,,,,
3419,SPT Out,Tempe's South Plant treated water,tempe,STP Out,12/7/2004,12/7/2004,,,,,,,,,,,,
3420,R25,verde river at beeline highway,verde,verde @ beeline,12/7/2004,12/7/2004,,,2.82,0.096,3.42,,,,,,,
3421,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/7/2004,12/7/2004,,,3.07,0.061,2,,,,,,,
3422,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/7/2004,12/7/2004,,,3.06,0.112,3.66,,,,,,,
3423,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/7/2004,12/7/2004,,,3.15,0.111,3.54,,,,,,,
3424,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,12/7/2004,12/7/2004,,,3.59,0.116,3.24,,,,,,,
3425,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,12/7/2004,12/7/2004,,,2.7,0.061,2.27,,,,,,,
3426,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,12/7/2004,12/7/2004,,,3.42,0.114,3.33,,,,,,,
3427,R17,Deer Valley WTP treated water,srp,deer valley-treated,12/7/2004,12/7/2004,,,2.33,0.039,1.66,,,,,,,
3428,Green In,Greenway WTP Inlet,srp,Green In,12/7/2004,12/7/2004,,,2.33,0.045,1.95,,,,,,,
3429,Green Out,Greenway WTP Outlet,srp,Green Out,12/7/2004,12/7/2004,,,1.98,0.03,1.49,,,,,,,
3430,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,12/7/2004,12/7/2004,,,3.43,0.12,3.49,,,,,,,
3431,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,12/7/2004,12/7/2004,,,2.39,0.053,2.2,,,,,,,
3432,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,12/7/2004,12/7/2004,,,3,0.057,1.88,,,,,,,
3433,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,12/7/2004,12/7/2004,,,3.16,0.06,1.9,,,,,,,
3434,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,12/7/2004,12/7/2004,,,,,,,,,,,,
3435,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,12/7/2004,12/7/2004,,,,,,,,,,,,
3436,R9A,Saguaro Lake near inlet,salt,saguaro-epi,12/7/2004,12/7/2004,,,4.41,0.083,1.88,,,,,,,
3437,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,12/7/2004,12/7/2004,,,4.42,0.083,1.88,,,,,,,
3438,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,12/7/2004,12/7/2004,,,4.94,0.087,1.75,,,,,,,
3439,R20,Verde River at Tangle,verde,verde abv horseshoe,12/7/2004,12/7/2004,,,2.18,0.08,3.68,,,,,,,
3440,Havasu 1,Havasu lake Sample,,Havasu 1,12/7/2004,12/7/2004,,,3.13,0.059,1.88,,,,,,,
3441,Havasu 2,Havasu lake Sample,,Havasu 2,12/7/2004,12/7/2004,,,,,,,,,,,,
3442,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,12/7/2004,12/7/2004,,,,,,,,,,,,
3443,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,12/7/2004,12/7/2004,,,3.33,0.113,3.38,,,,,,,
3444,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,12/7/2004,12/7/2004,,,3.47,0.113,3.27,,,,,,,
3445,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,12/7/2004,12/7/2004,,,3.25,0.111,3.43,,,,,,,
3446,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,12/7/2004,12/7/2004,,,3.16,0.115,3.65,,,,,,,
3447,R1,CAP canal above Waddell Canal,cap,cap-siphon,12/7/2004,12/7/2004,,,,,,,,,,,,
3448,R4,Cap Canal at 7th St.,cap,cap @ 7th st,12/7/2004,12/7/2004,,,,,,,,,,,,
3449,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,12/7/2004,12/7/2004,,,,,,,,,,,,
3450,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,12/7/2004,12/7/2004,,,,,,,,,,,,
3451,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,12/7/2004,12/7/2004,,,,,,,,,,,,
